  cnum                  name      glon_peak      glat_peak             ra            dec       glon_cen       glat_cen     maj     min     pos_ang     rad  flux_40  err_flux_40  flux_80  err_flux_80 flux_120 err_flux_120     flux     err_flux 
  7180       G110.254-00.578    110.2550030     -0.5775385    347.0534910     59.7291987    110.2515301     -0.5801302   24.93   15.46          56   27.84    0.055        0.025    0.136        0.050    0.217        0.075    0.170        0.049 
  7181       G110.257+00.018    110.2570092      0.0184615    346.5914513     60.2786227    110.2573585      0.0136397   39.98   33.70          40   81.31    0.177        0.025    0.549        0.056    0.891        0.086    1.275        0.122 
  7182       G110.331+00.006    110.3310077      0.0064604    346.7382570     60.2966576    110.3231748      0.0037723   46.31   18.71          82   56.14    0.093        0.021    0.206        0.043    0.286        0.064    0.397        0.067 
  7183       G110.509-00.914    110.5089696     -0.9135446    347.7715994     59.5158503    110.5128125     -0.9101670   44.37   22.91          31   66.31    0.070        0.026    0.210        0.052    0.347        0.078    0.432        0.082 
  7184       G110.516-00.884    110.5169698     -0.8835449    347.7638761     59.5466502    110.5190186     -0.8803917   31.95   21.41          34   51.75    0.044        0.025    0.148        0.050    0.287        0.075    0.211        0.057 
  7185       G110.537-00.550    110.5369812     -0.5495457    347.5496414     59.8633152    110.5300547     -0.5443993   32.86   14.96         120   29.92    0.040        0.028    0.120        0.056    0.200        0.084    0.182        0.058 
  7186       G110.546-00.438    110.5469851     -0.4375462    347.4829714     59.9706799    110.5493094     -0.4360741   21.31   16.00          92   26.69    0.050        0.027    0.142        0.054    0.217        0.082    0.148        0.050 
  7187       G110.609-00.892    110.6089589     -0.8915489    347.9380255     59.5738449    110.6093573     -0.8944689   22.24   18.56          23   34.78    0.060        0.023    0.161        0.047    0.219        0.070    0.180        0.047 
  7188       G110.787+00.370    110.7870240      0.3704406    347.3060439     60.8090233    110.7856137      0.3632597   24.90   16.96         152   33.64    0.067        0.024    0.216        0.048    0.413        0.074    0.148        0.044 
  7189       G110.795+00.382    110.7950250      0.3824401    347.3117486     60.8231747    110.8020788      0.3853184   48.44   26.34          43   77.18    0.106        0.024    0.321        0.051    0.518        0.077    0.706        0.097 
  7190       G110.882+00.022    110.8829988      0.0224336    347.7576612     60.5237655    110.8833043      0.0246477   29.68   22.12          45   50.78    0.070        0.019    0.194        0.038    0.285        0.058    0.296        0.052 
  7191       G110.893+00.560    110.8930413      0.5604328    347.3575466     61.0251465    110.8929904      0.5580984   27.23   17.02         156   36.05    0.045        0.022    0.121        0.043    0.173        0.065    0.161        0.047 
  7192       G110.903+00.534    110.9030396      0.5344320    347.3971521     61.0049558    110.8991050      0.5354295   19.64   16.91         107   27.37    0.048        0.020    0.116        0.041    0.161        0.061    0.136        0.039 
  7193       G110.983-00.982    110.9829079     -0.9815747    348.6903521     59.6284537    110.9810470     -0.9763589   60.77   23.75         135   80.81    0.103        0.022    0.315        0.047    0.505        0.071    0.803        0.098 
  7194       G111.013-00.994    111.0129030     -0.9935774    348.7542402     59.6281907    111.0168243     -1.0027182   21.57   15.39         130   24.52    0.032        0.021    0.092        0.042    0.172        0.064    0.082        0.034 
  7195       G111.057+01.080    111.0570984      1.0804183    347.2572612     61.5682619    111.0546607      1.0825641   27.07   19.36         111   42.21    0.180        0.053    0.455        0.108    0.686        0.162    0.614        0.131 
  7196       G111.082-00.976    111.0828960     -0.9755841    348.8703918     59.6703423    111.0924365     -0.9687634   40.07   27.61          57   71.73    0.066        0.022    0.179        0.045    0.274        0.067    0.446        0.076 
  7197       G111.103-00.884    111.1029029     -0.8835861    348.8413110     59.7633409    111.1035207     -0.8826526   37.63   29.80          38   72.73    0.113        0.022    0.367        0.047    0.631        0.073    0.817        0.090 
  7198       G111.119-00.878    111.1189017     -0.8775878    348.8666129     59.7747249    111.1274908     -0.8731175   22.01   14.17          38   14.37    0.062        0.023    0.233        0.048    0.458        0.075    0.125        0.042 
  7199       G111.156+00.580    111.1570543      0.5804081    347.8469525     61.1438831    111.1530793      0.5805956   31.80   22.40         126   53.60    0.060        0.019    0.191        0.040    0.319        0.060    0.324        0.056 
  7200       G111.162-00.690    111.1629170     -0.6895924    348.8126426     59.9658932    111.1628823     -0.6889297   29.45   20.47         135   47.18    0.077        0.026    0.219        0.052    0.350        0.078    0.331        0.068 
  7201       G111.167-00.606    111.1669258     -0.6055929    348.7591098     60.0456165    111.1698567     -0.6009730   30.17   26.37          44   58.63    0.075        0.025    0.219        0.050    0.391        0.076    0.394        0.073 
  7202       G111.173+00.624    111.1730598      0.6244064    347.8433637     61.1906699    111.1749431      0.6268492   37.29   27.52          66   68.65    0.081        0.020    0.246        0.042    0.387        0.064    0.493        0.073 
  7203       G111.192-00.900    111.1928908     -0.8995957    349.0194621     59.7808953    111.1876982     -0.9035711   39.54   16.92          36   44.93    0.051        0.025    0.147        0.050    0.226        0.076    0.249        0.063 
  7204       G111.192-00.796    111.1929024     -0.7955957    348.9449278     59.8779150    111.1943886     -0.7954363   36.28   27.17         151   66.98    0.131        0.025    0.406        0.054    0.655        0.082    0.809        0.099 
  7205       G111.201-00.834    111.2008973     -0.8335966    348.9870645     59.8453515    111.2002376     -0.8350661   22.13   15.43         142   25.21    0.054        0.026    0.153        0.052    0.229        0.079    0.165        0.049 
  7206       G111.248+00.810    111.2490854      0.8103977    347.8442526     61.3915967    111.2475789      0.8146971   10.87    8.62          53    null    0.039        0.019    0.119        0.038    0.209        0.058    0.035        0.019 
  7207       G111.251+00.804    111.2510848      0.8043975    347.8528361     61.3867899    111.2544796      0.8032120   30.86   21.42          69   50.66    0.042        0.019    0.131        0.038    0.231        0.058    0.200        0.048 
  7208       G111.259-00.770    111.2588986     -0.7696033    349.0490285     59.9259251    111.2617207     -0.7639453   49.99   28.24          14   82.31    0.483        0.044    1.418        0.108    2.099        0.160    2.984        0.232 
  7209       G111.265+00.838    111.2650898      0.8383958    347.8532174     61.4235588    111.2703543      0.8390676   26.59   16.16         102   32.36    0.039        0.021    0.110        0.041    0.190        0.062    0.137        0.042 
  7210       G111.278-00.746    111.2788994     -0.7456057    349.0690822     59.9555047    111.2902213     -0.7420553   18.36   10.15          79    null    0.053        0.031    0.229        0.063    0.574        0.098    0.077        0.040 
  7211       G111.281-00.706    111.2809041     -0.7056060    349.0441054     59.9935546    111.2802395     -0.7067851   31.91   29.53           2   65.51    0.489        0.043    1.421        0.107    2.221        0.164    2.525        0.192 
  7212       G111.281+01.014    111.2811122      1.0143939    347.7452228     61.5926090    111.2787427      1.0145949   34.97   23.56         140   59.12    0.085        0.031    0.279        0.064    0.456        0.096    0.492        0.093 
  7213       G111.284-00.664    111.2849088     -0.6636064    349.0213667     60.0341852    111.2845483     -0.6640556   46.35   42.23         175  100.68    0.951        0.067    3.000        0.195    5.028        0.322    8.504        0.551 
  7214       G111.287-00.858    111.2868850     -0.8576067    349.1639942     59.8538046    111.2792329     -0.8609067   34.36   14.17         121   19.58    0.067        0.024    0.228        0.049    0.449        0.075    0.234        0.054 
  7215       G111.287-00.840    111.2868872     -0.8396067    349.1511711     59.8706138    111.2848841     -0.8345987   23.50    6.38          96    null    0.047        0.023    0.166        0.046    0.309        0.070    0.057        0.026 
  7216       G111.289-00.858    111.2888848     -0.8576069    349.1677126     59.8545196    111.2893349     -0.8505552   35.48   18.61         114   47.96    0.068        0.024    0.227        0.049    0.446        0.075    0.310        0.060 
  7217       G111.295-00.866    111.2948831     -0.8656077    349.1845607     59.8491920    111.3000556     -0.8724153   17.50   14.81           7   17.02    0.051        0.024    0.196        0.049    0.349        0.074    0.105        0.037 
  7218       G111.295+00.826    111.2950905      0.8263922    347.9207643     61.4237073    111.2843637      0.8283321   19.18   15.04          68   20.30    0.047        0.021    0.170        0.043    0.375        0.067    0.078        0.031 
  7219       G111.302+00.808    111.3030888      0.8083912    347.9503726     61.4100204    111.3007614      0.8058560   47.78   37.56          60   95.76    0.113        0.023    0.390        0.049    0.673        0.077    1.131        0.119 
  7220       G111.308-00.880    111.3088798     -0.8796094    349.2205381     59.8411122    111.3131206     -0.8846686   19.07   14.04         126    8.02    0.025        0.023    0.092        0.047    0.178        0.071    0.061        0.033 
  7221       G111.331+00.790    111.3310884      0.7903877    348.0187013     61.4038084    111.3302522      0.7877210   51.86   22.43          42   70.96    0.104        0.025    0.323        0.052    0.569        0.080    0.777        0.099 
  7222       G111.361-00.654    111.3609032     -0.6536160    349.1562742     60.0707723    111.3598599     -0.6526062   38.23   21.35          62   57.43    0.069        0.024    0.210        0.048    0.358        0.072    0.389        0.073 
  7223       G111.367+00.746    111.3670851      0.7463831    348.1227330     61.3764149    111.3633077      0.7516986   37.44   28.50         145   70.43    0.284        0.038    0.857        0.085    1.451        0.134    1.637        0.156 
  7224       G111.381+00.748    111.3810862      0.7483813    348.1483069     61.3834811    111.3930842      0.7441099   39.75   34.96          31   82.85    0.234        0.038    0.741        0.083    1.385        0.133    1.561        0.172 
  7225       G111.382-00.662    111.3829002     -0.6616189    349.2031808     60.0711609    111.3808248     -0.6703472   26.96   16.36         149   33.45    0.036        0.023    0.141        0.047    0.287        0.071    0.139        0.043 
  7226       G111.382+00.706    111.3830808      0.7063810    348.1847570     61.3452338    111.3867561      0.7052707   28.51   24.17         118   53.07    0.107        0.027    0.289        0.055    0.436        0.083    0.448        0.077 
  7227       G111.385-00.658    111.3849005     -0.6576191    349.2040626     60.0756112    111.3867088     -0.6485481   38.20   19.12         161   51.57    0.039        0.023    0.139        0.047    0.308        0.072    0.224        0.060 
  7228       G111.387+00.804    111.3870940      0.8043805    348.1163884     61.4376909    111.3867896      0.8057135   24.68   22.43          20   45.28    0.078        0.025    0.244        0.052    0.394        0.079    0.338        0.065 
  7229       G111.409+01.032    111.4091262      1.0323775    347.9805353     61.6574152    111.4070399      1.0286452   40.83   34.24          87   83.07    0.158        0.038    0.482        0.080    0.814        0.122    1.227        0.159 
  7230       G111.423-00.938    111.4228590     -0.9376242    349.4735486     59.8273477    111.4196476     -0.9349251   26.29   15.89         114   30.98    0.040        0.022    0.115        0.045    0.191        0.067    0.140        0.044 
  7231       G111.424-00.556    111.4249109     -0.5556245    349.2059657     60.1851678    111.4200869     -0.5537227   67.13   37.27          42  114.28    0.123        0.025    0.426        0.055    0.813        0.088    1.764        0.165 
  7232       G111.447+00.798    111.4470972      0.7983724    348.2375891     61.4544134    111.4393767      0.7989918   60.61   53.44         165  132.34    0.502        0.042    1.649        0.116    2.889        0.196    6.621        0.441 
  7233       G111.451+00.740    111.4510894      0.7403718    348.2902685     61.4020184    111.4463329      0.7497482   23.58   19.27          16   38.00    0.175        0.039    0.611        0.084    1.189        0.133    0.633        0.090 
  7234       G111.481+00.804    111.4811003      0.8043676    348.2990498     61.4725756    111.4789059      0.8065922   23.86   19.05         141   37.88    0.508        0.045    1.295        0.102    2.045        0.159    1.561        0.125 
  7235       G111.484+00.746    111.4850923      0.7463670    348.3516571     61.4201570    111.4796188      0.7426820   52.30   34.77          69   96.10    0.728        0.060    2.397        0.166    3.901        0.266    5.696        0.397 
  7236       G111.489-00.648    111.4888926     -0.6476335    349.3918814     60.1219395    111.4902340     -0.6460751   24.84   15.13          62   25.98    0.086        0.024    0.232        0.049    0.317        0.073    0.250        0.049 
  7237       G111.497+00.814    111.4971028      0.8143653    348.3224433     61.4877817    111.4963755      0.8157924   32.74   19.67         159   48.50    0.441        0.044    1.363        0.108    2.546        0.186    1.748        0.145 
  7238       G111.503+00.658    111.5030806      0.6583644    348.4542733     61.3449747    111.5062561      0.6556964   41.26   20.78          86   58.57    0.069        0.027    0.242        0.056    0.459        0.086    0.389        0.077 
  7239       G111.507-00.638    111.5068925     -0.6376361    349.4185659     60.1376647    111.5105571     -0.6234919   23.69   18.94         176   37.45    0.053        0.024    0.227        0.050    0.482        0.078    0.137        0.048 
  7240       G111.513-00.648    111.5128905     -0.6476369    349.4369385     60.1304339    111.5133783     -0.6468605   29.83   21.85          56   50.42    0.122        0.025    0.329        0.053    0.501        0.079    0.478        0.073 
  7241       G111.515+00.524    111.5150617      0.5243627    348.5797904     61.2247114    111.5101979      0.5244869   21.86   13.14          67    null    0.029        0.020    0.074        0.041    0.124        0.062    0.074        0.030 
  7242       G111.516+00.688    111.5170858      0.6883624    348.4584292     61.3780206    111.5143441      0.6829410   41.34   37.73          38   88.57    0.105        0.032    0.338        0.066    0.595        0.102    0.950        0.136 
  7243       G111.522+00.800    111.5231026      0.8003615    348.3838851     61.4843654    111.5240343      0.8010634   31.61   23.63         106   55.71    1.099        0.079    3.299        0.218    5.946        0.382    5.070        0.333 
  7244       G111.528+00.818    111.5291056      0.8183606    348.3816676     61.5033094    111.5285163      0.8261147   42.56   33.30          30   83.60    0.931        0.069    3.002        0.198    5.502        0.353    5.993        0.397 
  7245       G111.534+00.372    111.5350399      0.3723598    348.7333200     61.0904777    111.5340143      0.3765558   33.50   16.10         143   37.25    0.091        0.027    0.217        0.053    0.303        0.078    0.321        0.067 
  7246       G111.537+00.544    111.5370655      0.5443594    348.6071481     61.2513706    111.5351946      0.5436883   31.58   18.61          51   44.68    0.112        0.025    0.321        0.052    0.449        0.076    0.452        0.068 
  7247       G111.537+00.756    111.5370970      0.7563594    348.4450495     61.4486109    111.5349815      0.7557932   42.75   23.82          93   66.93    4.857        0.298   12.016        0.734   19.530        1.192   19.543        1.200 
  7248       G111.545+00.776    111.5451004      0.7763582    348.4452255     61.4701513    111.5438653      0.7764429   30.46   22.98         105   53.25    7.708        0.469   17.999        1.095   25.515        1.553   25.803        1.574 
  7249       G111.551+00.696    111.5510888      0.6963573    348.5183362     61.3979444    111.5478258      0.6929469   26.33   19.16          71   40.95    0.062        0.031    0.173        0.063    0.235        0.095    0.239        0.070 
  7250       G111.561+00.832    111.5611099      0.8323558    348.4332354     61.5281104    111.5621799      0.8427078   47.53   30.11          15   83.48    0.298        0.036    0.922        0.083    1.719        0.140    2.551        0.201 
  7251       G111.564+00.578    111.5650717      0.5783552    348.6355411     61.2932483    111.5687972      0.5804693   26.41   16.20          57   32.38    0.056        0.026    0.154        0.053    0.225        0.079    0.185        0.054 
  7252       G111.573+00.750    111.5730983      0.7503540    348.5197266     61.4562499    111.5787066      0.7422252   57.14   29.92         135   91.82    1.283        0.089    3.358        0.222    5.050        0.333    6.201        0.425 
  7253       G111.579+00.616    111.5790781      0.6163531    348.6337944     61.3337365    111.5814662      0.6090609   34.37   18.02         163   45.25    0.090        0.024    0.234        0.049    0.352        0.073    0.369        0.064 
  7254       G111.581+00.036    111.5809893      0.0363528    349.0715412     60.7937833    111.5803971      0.0345025   25.65   22.11          26   45.99    0.102        0.020    0.250        0.041    0.337        0.060    0.342        0.053 
  7255       G111.581+00.698    111.5810908      0.6983528    348.5751273     61.4107944    111.5763175      0.6939095   15.92   11.06          76    null    0.056        0.030    0.175        0.061    0.330        0.092    0.080        0.039 
  7256       G111.591+00.660    111.5910855      0.6603513    348.6235829     61.3790801    111.5891881      0.6666915   37.23   20.84         119   55.35    0.094        0.022    0.199        0.044    0.241        0.066    0.355        0.063 
  7257       G111.597+00.806    111.5971084      0.8063503    348.5234853     61.5171494    111.5958497      0.8087308   40.87   32.31         147   80.23    0.645        0.049    2.120        0.141    3.516        0.231    4.939        0.326 
  7258       G111.603+00.842    111.6031145      0.8423494    348.5074944     61.5528413    111.5963278      0.8412986   41.41   26.98         110   71.93    0.196        0.026    0.620        0.060    1.065        0.096    1.587        0.130 
  7259       G111.606+00.614    111.6070791      0.6143488    348.6896711     61.3420850    111.6064654      0.6132118   29.95   28.19          11   61.07    0.092        0.020    0.282        0.042    0.501        0.065    0.503        0.068 
  7260       G111.615+00.374    111.6150419      0.3743475    348.8861198     61.1213466    111.6093582      0.3764206   49.20   44.27         140  106.82    1.444        0.093    3.596        0.226    5.134        0.324    8.645        0.556 
  7261       G111.615+00.932    111.6151294      0.9323475    348.4614815     61.6409602    111.6056589      0.9369066   33.72   24.44         115   59.49    0.045        0.022    0.135        0.044    0.256        0.067    0.286        0.064 
  7262       G111.617+00.926    111.6171287      0.9263472    348.4700384     61.6361149    111.6284323      0.9184841   33.64   14.83          99   29.27    0.038        0.022    0.130        0.044    0.238        0.067    0.157        0.045 
  7263       G111.623+00.176    111.6230108      0.1763463    349.0488243     60.9395285    111.6195701      0.1810629   36.41   26.03         129   65.15    0.055        0.018    0.151        0.037    0.255        0.057    0.314        0.058 
