#V1 CNUM  V2 CNUM    GLON      GLAT   V1 Field
#---------------------------------------------
      1     1023    0.0001    0.0570    super_gc
      2     1014    0.0039    0.2770    super_gc
      3     1016    0.0062   -0.1350    super_gc
      4     1017    0.0100    0.1570    super_gc
      5     1020    0.0161   -0.0170    super_gc
      6     1019    0.0184   -0.4310    super_gc
      7     1023    0.0201    0.0330    super_gc
      8     1022    0.0201   -0.0510    super_gc
      9     1014    0.0219    0.2510    super_gc
     10     1025    0.0344   -0.4370    super_gc
     11     1028    0.0420    0.2051    super_gc
     12     1046    0.0442   -0.1329    super_gc
     13     1027    0.0443   -0.2849    super_gc
     14     1032    0.0460    0.1111    super_gc
     15     1024    0.0461   -0.0409    super_gc
     16     1029    0.0463   -0.2969    super_gc
     17     1033    0.0480    0.0651    super_gc
     18     1033    0.0521    0.0271    super_gc
     19     1042    0.0522   -0.1589    super_gc
     20     1034    0.0542   -0.2089    super_gc
     21     1038    0.0659    0.2091    super_gc
     22     1037    0.0661   -0.0789    super_gc
     23     1039    0.0679    0.2411    super_gc
     24     1043    0.0700    0.1751    super_gc
     25     1024    0.0701   -0.0369    super_gc
     26     1042    0.0702   -0.1769    super_gc
     27     1040    0.0721    0.0471    super_gc
     28     1041    0.0723   -0.2629    super_gc
     29     1046    0.0782   -0.1469    super_gc
     30     1043    0.0920    0.1671    super_gc
     31     1050    0.0940    0.0731    super_gc
     32     1054    0.0942   -0.1089    super_gc
     33     1058    0.0942   -0.2349    super_gc
     34     1048    0.0959    0.2511    super_gc
     35     1050    0.0980    0.0731    super_gc
     36     1049    0.0982   -0.1629    super_gc
     37     1051    0.1002   -0.1329    super_gc
     38     1055    0.1041   -0.0049    super_gc
     39     1054    0.1061   -0.0849    super_gc
     40     1053    0.1080    0.1951    super_gc
     41     1055    0.1101    0.0011    super_gc
     42     1056    0.1160    0.1451    super_gc
     43     1059    0.1180    0.0851    super_gc
     44     1057    0.1184   -0.4709    super_gc
     45     1061    0.1202   -0.2129    super_gc
     46     1061    0.1202   -0.2209    super_gc
     47     1064    0.1204   -0.5129    super_gc
     48     1060    0.1222   -0.1129    super_gc
     49     1062    0.1239    0.2631    super_gc
     50     1064    0.1244   -0.5029    super_gc
     51     1063    0.1260    0.1751    super_gc
     52     1061    0.1282   -0.2049    super_gc
     53     1061    0.1362   -0.2209    super_gc
     54     1066    0.1364   -0.4909    super_gc
     55     1060    0.1382   -0.1349    super_gc
     56     1068    0.1401    0.0211    super_gc
     57     1067    0.1401   -0.0849    super_gc
